uid,dateTime,account,type,symbol,contract,change,new balance,new average entry price,trade price,mark price,funding rate,realized pnl,fee,realized funding,collateral,conversion spread percentage,liquidation fee,position uid
e6b98df9-308e-4d58-a0be-885c14101dcc,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.19763421923,1603.28271586622,,90409.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.23831826923,0.04068405000,0.00000000000,,,,
85b33cc3-758c-49ff-a863-f16d3105b427,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00090000000,0.00000000000,90144.20192307692307692307,90409.00000000000000000000,90422.68476439845000000000,,,,,,,,
173c8776-d052-4dd0-84c7-3418ec5b7629,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,3.29390365385,1603.08508164699,,90409.00000000000000000000,90422.68476439845000000000,0.800926772566750000,3.97197115385,0.67806750000,0.00000000000,,,,
993dc77b-8de3-4342-9a4a-d9d82044b12f,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.01500000000,0.00090000000,90144.20192307692307692307,90409.00000000000000000000,90422.68476439845000000000,,,,,,,,
428fdb2e-1996-4f65-bcab-5d3b5b2345f3,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,4.39187153846,1599.79117799314,,90409.00000000000000000000,90422.68476439845000000000,0.800926772566750000,5.29596153846,0.90409000000,0.00000000000,,,,
dd71be85-69e0-4fd1-8a01-59f135338dc7,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.02000000000,0.01590000000,90144.20192307692307692307,90409.00000000000000000000,90422.68476439845000000000,,,,,,,,
d935aef2-649f-49c4-b12c-b0b7570882d3,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,3.30889615385,1595.39930645468,,90410.00000000000000000000,90422.68476439845000000000,0.800926772566750000,3.98697115385,0.67807500000,0.00000000000,,,,
2096b621-e458-4c0e-afc1-42f22e657478,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.01500000000,0.03590000000,90144.20192307692307692307,90410.00000000000000000000,90422.68476439845000000000,,,,,,,,
ef047ca5-e4da-44ce-aa19-253c26009eb9,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.04411861538,1592.09041030083,,90410.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.05315961538,0.00904100000,0.00000000000,,,,
6528834b-9561-40eb-996c-44a4cf2e2175,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00020000000,0.05090000000,90144.20192307692307692307,90410.00000000000000000000,90422.68476439845000000000,,,,,,,,
4ffcdf45-9c25-47b2-bb57-36466c67be6b,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.55148269231,1592.04629168545,,90410.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.66449519231,0.11301250000,0.00000000000,,,,
fd39b54f-4806-4a5a-8f25-e374c001e9b0,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00250000000,0.05110000000,90144.20192307692307692307,90410.00000000000000000000,90422.68476439845000000000,,,,,,,,
1dc258f5-98a7-4947-ab8b-b3f5956d4300,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.22059307692,1591.49480899314,,90410.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.26579807692,0.04520500000,0.00000000000,,,,
df7d696a-2f6e-4af3-a4b0-1af9bae193fe,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00100000000,0.05360000000,90144.20192307692307692307,90410.00000000000000000000,90422.68476439845000000000,,,,,,,,
0f778431-78e0-4713-bd8f-3b361c04eb9b,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,3.32388865385,1591.27421591622,,90411.00000000000000000000,90422.68476439845000000000,0.800926772566750000,4.00197115385,0.67808250000,0.00000000000,,,,
e83b6693-6bb0-4962-a7f7-ce0907ca4b50,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.01500000000,0.05460000000,90144.20192307692307692307,90411.00000000000000000000,90422.68476439845000000000,,,,,,,,
e4e0a626-cecb-455a-b9e5-f0b04fa9214e,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.04451841538,1587.95032726237,,90412.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.05355961538,0.00904120000,0.00000000000,,,,
8247e784-36e9-43b1-b0d6-4699dcba5851,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00020000000,0.06960000000,90144.20192307692307692307,90412.00000000000000000000,90422.68476439845000000000,,,,,,,,
e62ec85b-c554-4dfe-95c2-cde26fcaf7f6,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.04471831538,1587.90580884699,,90413.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.05375961538,0.00904130000,0.00000000000,,,,
a34302cc-ea97-489b-bb7c-28fa55a182f1,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00020000000,0.06980000000,90144.20192307692307692307,90413.00000000000000000000,90422.68476439845000000000,,,,,,,,
7c9d9a96-3f7c-48fd-93b6-160465551a31,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,5.05322892308,1587.86109053161,,90415.00000000000000000000,90422.68476439845000000000,0.800926772566750000,6.06587692308,1.01264800000,0.00000000000,,,,
ec6f71f9-0d85-471e-a8f2-75a1816db0a8,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.02240000000,0.07000000000,90144.20192307692307692307,90415.00000000000000000000,90422.68476439845000000000,,,,,,,,
62005128-e234-4ce3-bbf1-fa09818308c3,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.11329503846,1582.80786160853,,90416.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.13589903846,0.02260400000,0.00000000000,,,,
ac16b158-08a4-4605-b1a5-b5799e65143a,2026-01-11 20:24:14,flex,futures trade,pf_xbtusd,pf_xbtusd,-0.00050000000,0.09240000000,90144.20192307692307692307,90416.00000000000000000000,90422.68476439845000000000,,,,,,,,
93ffec98-7716-4467-93d5-db580152d866,2026-01-11 20:24:14,flex,futures trade,usd,pf_xbtusd,0.02275895769,1582.69456657007,,90417.00000000000000000000,90422.68476439845000000000,0.800926772566750000,0.02727980769,0.00452085000,0.00000000000,,,,
